Site,Time ,Method,Treatment,Replicate,Area,Species,Trophic group,attack_number,attack_hour,attack_total_time,inspecting_number,inspecting_hour,inspecting_total_time,total_video_min
Blue lagoon,2,Dome,Fish,1,Lizard Island,Symphorichthys spilurus,Piscivore,0,0,0,1,0.994859891,0.2,60.31
Blue lagoon,2,Dome,Fish,1,Lizard Island,Symphorichthys spilurus,Piscivore,0,0,0,1,0.994859891,0.2,60.31
Blue lagoon,2,Dome,Fish,1,Lizard Island,Dischistodus prosopotaenia,Herbivore,0,0,0,1,0.994859891,0.2,60.31
Blue lagoon,2,Dome,Fish,1,Lizard Island,Dischistodus prosopotaenia,Herbivore,0,0,0,1,0.994859891,0.2,60.31
Blue lagoon,2,Dome,Fish,1,Lizard Island,Dischistodus prosopotaenia,Herbivore,0,0,0,1,0.994859891,0.2,60.31
Blue lagoon,2,Dome,Fish,1,Lizard Island,Dischistodus prosopotaenia,Herbivore,0,0,0,1,0.994859891,0.2,60.31
Blue lagoon,2,Dome,Fish,1,Lizard Island,Dischistodus prosopotaenia,Herbivore,0,0,0,1,0.994859891,0.2,60.31
Blue lagoon,2,Dome,Fish,2,Lizard Island,Plectorhinchus chrysotaenia,Invertivore,0,0,0,1,0.628864899,0.19,95.41
Blue lagoon,2,Dome,Fish,2,Lizard Island,Pomacentrus chrysurus,Herbivore,1,0.628864899,0.05,0,0,0,95.41
Blue lagoon,2,Dome,Fish,2,Lizard Island,Pomacentrus chrysurus,Herbivore,1,0.628864899,0.05,0,0,0,95.41
Blue lagoon,2,Dome,Fish,2,Lizard Island,Amblyglyphidodon aureus,Planktivore,0,0,0,1,0.628864899,0.19,95.41
Blue lagoon,2,Dome,Fish,2,Lizard Island,Pomacentrus chrysurus,Herbivore,1,0.628864899,0.05,0,0,0,95.41
Blue lagoon,2,Dome,Fish,2,Lizard Island,Pomacentrus chrysurus,Herbivore,0,0,0,1,0.628864899,0.05,95.41
Blue lagoon,2,Dome,Fish,2,Lizard Island,Lethrinus amboinensis,Piscivore,0,0,0,1,0.628864899,0.05,95.41
Blue lagoon,2,Dome,Fish,3,Lizard Island,Plectorhinchus chrysotaenia,Invertivore,0,0,0,1,0.890339813,0.07,67.39
